Game,2014,2019,2018,2015,2017,2013,N/A,2016,2020,Genre,North America,Europe,Japan,Rest of World,Global,Publisher
Middle-Earth: Shadow of Mordor,1,0,0,0,0,0,0,0,0,Action,16.666666666666668,16.477857878475795,2.3041474654377883,16.887417218543046,16.451779267663746,Warner Bros. Interactive Entertainment
Assassin's Creed IV: Black Flag,0,0,0,0,0,1,0,0,0,Action-Adventure,17.31391585760518,15.962924819773429,2.7649769585253456,16.887417218543046,16.451779267663746,Ubisoft
Tom Clancy's Ghost Recon Wildlands,0,0,0,0,1,0,0,0,0,Shooter,17.31391585760518,13.903192584963953,10.13824884792627,15.562913907284766,16.09076843733883,Ubisoft
Bloodborne,0,0,0,1,0,0,0,0,0,Role-Playing,21.03559870550162,10.813594232749741,12.903225806451614,15.894039735099335,16.03919546157813,Sony Computer Entertainment
Metal Gear Solid V: The Phantom Pain,0,0,0,1,0,0,0,0,0,Action,15.695792880258898,11.843460350154476,23.04147465437788,13.90728476821192,15.678184631253222,Konami Digital Entertainment
Killzone: Shadow Fall,0,0,0,0,0,1,0,0,0,Shooter,14.401294498381876,16.27188465499485,3.6866359447004617,15.562913907284766,15.57503867973182,Sony Computer Entertainment
inFAMOUS: Second Son,1,0,0,0,0,0,0,0,0,Action-Adventure,21.84466019417476,11.225540679711637,3.2258064516129044,16.556291390728475,15.523465703971116,Sony Computer Entertainment
Doom (2016),0,0,0,0,0,0,0,1,0,Shooter,15.04854368932039,15.24201853759011,1.8433179723502309,15.231788079470201,15.059308922124805,Bethesda Softworks
Mafia III,0,0,0,0,0,0,0,1,0,Action-Adventure,11.650485436893206,17.198764160659113,1.8433179723502309,14.56953642384106,14.801444043321299,2K Games
Diablo III,1,0,0,0,0,0,0,0,0,Role-Playing,13.430420711974108,15.24201853759011,3.6866359447004617,14.56953642384106,14.543579164517789,Blizzard Entertainment
Far Cry: Primal,0,0,0,0,0,0,0,1,0,Action-Adventure,10.194174757281555,16.58084449021627,3.2258064516129044,13.57615894039735,14.079422382671478,Ubisoft
Need for Speed (2015),0,0,0,1,0,0,0,0,0,Racing,9.54692556634304,17.095777548918637,2.7649769585253456,13.57615894039735,14.027849406910779,Electronic Arts
Madden NFL 18,0,0,0,0,1,0,0,0,0,Sports,27.99352750809062,4.325437693099897,0.0,15.562913907284766,13.512119649303763,EA Sports
NBA 2K15,1,0,0,0,0,0,0,0,0,Sports,24.11003236245955,5.664263645726056,0.46082949308755783,14.56953642384106,12.841670964414648,2K Sports
Dying Light,0,0,0,1,0,0,0,0,0,Action,19.09385113268608,7.621009268795055,5.99078341013825,13.245033112582782,12.635379061371841,Warner Bros. Interactive
Dark Souls III,0,0,0,0,0,0,0,1,0,Role-Playing,16.181229773462785,6.488156539649845,20.276497695852534,11.258278145695368,12.480660134089735,Namco Bandai Games
Ratchet & Clank (2016),0,0,0,0,0,0,0,1,0,Platform,15.695792880258898,9.98970133882595,2.7649769585253456,12.913907284768213,12.274368231046928,Sony Interactive Entertainment
DriveClub,1,0,0,0,0,0,0,0,0,Racing,5.987055016181231,16.786817713697214,0.9216589861751154,11.9205298013245,12.222795255286231,Sony Computer Entertainment
Uncharted: The Lost Legacy,0,0,0,0,1,0,0,0,0,Action,9.385113268608416,14.212152420185372,1.8433179723502309,11.9205298013245,12.222795255286231,Sony Interactive Entertainment
Dragon Age III: Inquisition,1,0,0,0,0,0,0,0,0,Role-Playing,17.31391585760518,8.238928939237898,3.6866359447004617,12.582781456953642,12.068076328004123,Electronic Arts
No Man's Sky,0,0,0,0,0,0,0,1,0,Action-Adventure,14.401294498381876,9.98970133882595,1.8433179723502309,12.251655629139071,11.655492521918513,Hello Games
Madden NFL 15,1,0,0,0,0,0,0,0,0,Sports,25.5663430420712,2.5746652935118433,0.0,13.57615894039735,11.603919546157814,EA Sports
Need for Speed: Payback,0,0,0,0,1,0,0,0,0,Racing,10.032362459546926,12.152420185375899,1.8433179723502309,11.258278145695368,11.242908715832904,Electronic Arts
Destiny: The Taken King,0,0,0,1,0,0,0,0,0,Shooter,15.695792880258898,8.238928939237898,2.3041474654377883,11.9205298013245,11.242908715832904,Activision
Need for Speed Rivals,0,0,0,0,0,1,0,0,0,Racing,12.135922330097088,10.710607621009267,1.3824884792626728,11.589403973509931,11.191335740072203,Electronic Arts
PlayStation VR Worlds,0,0,0,0,0,0,0,1,0,Misc,5.825242718446603,14.418125643666322,4.147465437788019,10.596026490066226,11.1397627643115,Sony Interactive Entertainment
Battlefield: Hardline,0,0,0,1,0,0,0,0,0,Shooter,11.650485436893206,9.98970133882595,6.451612903225809,10.927152317880795,11.088189788550798,Electronic Arts
Rise of the Tomb Raider,0,0,0,0,0,0,0,1,0,Adventure,9.870550161812298,11.122554067971162,2.3041474654377883,10.596026490066226,10.675605982465186,Square Enix
LittleBigPlanet 3,1,0,0,0,0,0,0,0,0,Platform,12.621359223300972,9.577754891864057,0.46082949308755783,11.258278145695368,10.624033006704487,Sony Computer Entertainment
The Elder Scrolls Online,0,0,0,1,0,0,0,0,0,MMO,11.974110032362463,10.092687950566424,0.0,10.927152317880795,10.572460030943786,Bethesda Softworks
Middle-Earth: Shadow of War,0,0,0,0,1,0,0,0,0,Action,13.26860841423948,8.650875386199793,2.7649769585253456,10.927152317880795,10.520887055183083,Warner Bros. Interactive Entertainment
Dragon Quest XI,0,0,0,0,1,0,0,0,0,Role-Playing,4.692556634304208,2.2657054582904217,65.89861751152073,3.311258278145696,10.520887055183083,Square Enix
Rocket League,0,0,0,0,0,0,0,1,0,Sports,5.987055016181231,13.800205973223479,0.0,10.264900662251655,10.417741103661681,505 Games
Just Cause 3,0,0,0,1,0,0,0,0,0,Action-Adventure,8.576051779935275,11.01956745623069,4.147465437788019,9.933774834437086,10.211449200618876,Square Enix
Dishonored 2,0,0,0,0,0,0,0,1,0,Action,10.032362459546926,10.504634397528319,0.46082949308755783,10.264900662251655,10.159876224858172,Bethesda Softworks
Lego Marvel Super Heroes,0,0,0,0,0,1,0,0,0,Action,9.54692556634304,10.298661174047373,0.46082949308755783,9.933774834437086,9.850438370293963,Warner Bros. Interactive Entertainment
Until Dawn,0,0,0,1,0,0,0,0,0,Adventure,10.032362459546926,9.474768280123584,2.7649769585253456,9.933774834437086,9.798865394533264,Sony Computer Entertainment
Knack,0,0,0,0,0,1,0,0,0,Platform,7.281553398058254,7.929969104016477,19.35483870967742,7.6158940397351005,9.69571944301186,Sony Computer Entertainment
The Evil Within,1,0,0,0,0,0,0,0,0,Action,9.061488673139161,9.268795056642636,5.0691244239631335,9.271523178807948,9.592573491490459,Bethesda Softworks
The Crew,1,0,0,0,0,0,0,0,0,Racing,7.119741100323625,10.710607621009267,1.3824884792626728,8.940397350993377,9.23156266116555,Ubisoft
Kingdom Hearts 1.5 + 2.5 Remix,0,0,0,0,1,0,0,0,0,Role-Playing,12.135922330097088,5.2523171987641595,10.599078341013826,8.609271523178808,9.025270758122744,Square Enix
For Honor,0,0,0,0,1,0,0,0,0,Action,11.81229773462783,6.7971163748712655,3.2258064516129044,9.271523178807948,9.025270758122744,Ubisoft
Titanfall 2,0,0,0,0,0,0,0,1,0,Shooter,12.135922330097088,6.385169927909371,2.7649769585253456,9.271523178807948,8.870551830840638,Electronic Arts
Injustice 2,0,0,0,0,1,0,0,0,0,Fighting,14.23948220064725,5.561277033985581,0.0,9.602649006622515,8.870551830840638,Warner Bros. Interactive Entertainment
NieR Automata,0,0,0,0,1,0,0,0,0,Role-Playing,9.061488673139161,5.2523171987641595,19.35483870967742,7.28476821192053,8.818978855079937,Square Enix
Tekken 7,0,0,0,0,1,0,0,0,0,Fighting,9.70873786407767,7.415036045314109,5.529953917050691,8.609271523178808,8.767405879319236,Namco Bandai Games
Persona 5,0,0,0,0,0,0,0,1,0,Role-Playing,10.032362459546926,3.5015447991761066,22.119815668202765,6.622516556291392,8.457968024755026,Deep Silver
The Order: 1886,0,0,0,1,0,0,0,0,0,Shooter,7.119741100323625,8.85684860968074,3.2258064516129044,8.278145695364238,8.354822073233626,Sony Computer Entertainment
Wolfenstein: The New Order,1,0,0,0,0,0,0,0,0,Shooter,7.766990291262136,8.650875386199793,1.3824884792626728,8.278145695364238,8.303249097472923,Bethesda Softworks
Detroit: Become Human,0,0,1,0,0,0,0,0,0,Adventure,8.899676375404532,6.90010298661174,5.529953917050691,7.947019867549669,8.096957194430118,Sony Interactive Entertainment
Naruto Shippuden: Ultimate Ninja Storm 4,0,0,0,0,0,0,0,1,0,Fighting,11.488673139158575,4.840370751802264,5.529953917050691,7.947019867549669,7.942238267148014,Namco Bandai Games
NBA 2K14,0,0,0,0,0,1,0,0,0,Sports,14.724919093851135,3.6045314109165805,0.46082949308755783,8.940397350993377,7.942238267148014,2K Sports
Tomb Raider (2013),1,0,0,0,0,0,0,0,0,Action-Adventure,7.605177993527508,7.621009268795055,2.7649769585253456,7.6158940397351005,7.78751933986591,Square Enix
Dragon Ball: Xenoverse 2,0,0,0,0,0,0,0,1,0,Action,8.737864077669903,6.076210092687949,6.451612903225809,7.6158940397351005,7.735946364105208,Namco Bandai Games
Rayman Legends,1,0,0,0,0,0,0,0,0,Platform,3.5598705501618126,10.813594232749741,0.0,7.6158940397351005,7.735946364105208,Ubisoft
Mass Effect: Andromeda,0,0,0,0,1,0,0,0,0,Role-Playing,9.385113268608416,6.90010298661174,0.0,8.278145695364238,7.684373388344505,Electronic Arts
Dragon Ball Fighter Z,0,0,1,0,0,0,0,0,0,Fighting,9.870550161812298,5.2523171987641595,5.529953917050691,7.6158940397351005,7.529654461062402,Namco Bandai Games
South Park: The Fractured But Whole,0,0,0,0,1,0,0,0,0,Role-Playing,10.032362459546926,5.870236869207002,0.0,7.947019867549669,7.374935533780298,Ubisoft
The Sims 4,0,0,0,0,1,0,0,0,0,Simulation,7.119741100323625,7.415036045314109,0.46082949308755783,7.28476821192053,7.168643630737493,Electronic Arts
Street Fighter V,0,0,0,0,0,0,0,1,0,Fighting,10.355987055016183,4.325437693099897,5.529953917050691,7.28476821192053,7.168643630737493,Capcom
Wolfenstein II: The New Colossus,0,0,0,0,1,0,0,0,0,Shooter,8.899676375404532,5.973223480947476,0.46082949308755783,7.28476821192053,7.013924703455389,Bethesda Softworks
